working_hours,tasks_completed,breaks,satisfaction,burnout_risk
41,24,1,6,0
54,37,5,3,0
63,40,6,4,0
49,17,1,1,1
45,32,6,8,0
42,39,1,7,0
63,38,3,7,1
55,27,5,3,0
41,42,5,10,0
60,40,4,10,1
53,21,6,3,0
57,39,1,2,2
45,18,1,1,0
45,27,2,7,0
58,34,4,7,1
55,15,2,2,1
38,22,2,7,0
42,28,2,8,0
58,30,6,1,0
37,28,6,9,0
56,26,3,7,1
55,33,3,3,1
36,37,2,8,0
58,29,4,7,1
46,42,1,8,1
64,16,6,6,0
40,16,4,9,0
36,37,5,5,0
62,36,6,3,0
55,33,6,3,0
35,39,3,1,0
46,40,1,8,1
60,44,1,2,2
56,43,5,3,0
63,36,5,8,0
46,40,6,8,0
59,40,2,4,2
51,36,3,4,1
61,31,3,5,1
61,34,6,6,0
44,24,4,5,0
62,20,2,7,1
62,29,6,2,0
50,36,2,7,1
49,25,2,10,1
64,42,2,7,1
64,19,6,1,0
49,15,3,7,1
64,22,3,5,1
53,35,2,3,1
46,42,4,3,1
57,26,1,4,2
54,26,6,2,0
59,19,1,2,2
37,21,4,1,0
39,18,6,5,0
53,20,2,4,1
41,27,3,10,0
55,34,1,2,1
43,44,5,3,0
41,29,5,7,0
52,17,4,7,1
38,37,2,4,0
59,22,1,5,1
62,34,2,5,1
48,30,1,6,1
52,27,4,9,1
60,32,4,2,1
43,42,5,5,0
60,24,2,3,2
55,44,6,4,0
36,33,5,10,0
54,31,2,6,1
62,38,5,8,0
49,33,6,1,0
62,42,3,10,1
41,40,3,8,0
46,37,3,7,1
63,40,3,1,1
42,19,1,2,0
49,40,3,3,1
37,35,6,1,0
48,44,4,9,1
51,37,4,8,1
38,23,1,2,0
52,26,3,9,1
42,35,3,7,0
38,15,3,9,0
36,40,5,6,0
64,40,2,6,1
40,15,5,4,0
56,29,2,10,1
44,16,3,10,0
38,44,3,2,0
56,36,5,7,0
63,30,5,5,0
52,39,2,6,1
60,22,4,2,1
46,27,2,5,1
36,35,5,10,0
44,15,6,4,0
64,30,5,9,0
38,43,6,6,0
48,21,1,2,1
50,19,5,1,0
49,36,1,5,1
42,43,4,9,0
48,37,2,6,1
57,17,6,10,0
62,26,2,7,1
59,40,1,5,1
64,30,6,10,0
42,33,2,6,0
55,19,5,5,0
50,36,3,9,1
47,39,1,6,1
52,43,2,8,1
49,28,1,2,1
55,42,1,9,1
58,19,6,5,0
60,29,6,7,0
59,31,3,10,1
62,44,5,1,0
62,28,1,10,1
62,44,2,5,1
47,34,4,10,1
43,19,1,2,0
63,26,1,6,1
49,30,3,1,1
47,40,5,3,0
35,40,4,5,0
59,30,6,4,0
41,35,6,3,0
43,21,2,10,0
58,18,4,5,1
35,15,6,8,0
46,44,2,4,1
42,44,5,1,0
58,19,2,7,1
45,37,6,8,0
53,40,3,3,1
51,24,3,6,1
42,36,3,2,0
37,19,6,7,0
37,18,3,8,0
35,16,4,6,0
61,34,5,6,0
39,24,2,5,0
44,40,2,8,0
41,33,6,1,0
60,40,3,10,1
43,15,3,4,0
62,38,1,4,2
41,19,5,3,0
43,27,4,3,0
42,18,2,4,0
46,30,1,1,1
36,38,1,2,0
35,30,6,9,0
50,37,2,10,1
57,16,6,2,0
57,31,4,5,1
64,42,1,9,1
58,41,1,9,1
39,34,5,8,0
37,38,4,1,0
46,26,1,1,1
42,32,4,9,0
56,17,2,8,1
61,42,3,10,1
37,15,1,9,0
35,15,5,7,0
37,43,2,3,0
39,33,4,3,0
49,25,6,2,0
48,19,2,5,1
37,26,1,3,0
35,17,4,6,0
39,15,3,2,0
60,15,2,3,2
57,22,1,5,1
48,24,5,1,0
41,25,6,1,0
61,26,4,10,1
43,43,2,9,0
49,27,2,7,1
49,26,3,1,1
60,28,3,8,1
44,16,5,3,0
62,43,6,8,0
47,33,5,5,0
53,32,1,1,1
41,17,1,7,0
51,37,5,5,0
54,31,6,6,0
63,40,5,6,0
38,22,6,8,0
64,43,6,9,0
39,40,4,2,0
57,24,6,9,0
41,40,3,10,0
47,44,6,9,0
49,16,6,10,0
45,33,6,10,0
63,23,1,7,1
38,21,3,1,0
47,18,3,7,1
41,40,5,10,0
61,35,4,5,1
53,32,6,6,0
56,27,2,10,1
62,25,4,7,1
36,43,4,5,0
44,38,3,7,0
47,18,4,9,1
64,39,6,3,0
59,35,6,8,0
55,43,1,2,1
40,39,6,7,0
62,18,6,2,0
62,24,3,4,1
46,19,6,7,0
46,23,1,3,1
54,38,2,2,1
64,17,3,10,1
64,31,2,7,1
45,17,3,1,0
60,30,5,8,0
57,18,4,3,1
62,32,5,2,0
59,31,6,3,0
41,21,2,5,0
64,38,6,8,0
35,37,4,10,0
35,44,3,7,0
59,19,4,7,1
61,26,1,7,1
64,31,4,8,1
59,37,1,1,2
54,27,4,4,1
47,37,1,6,1
43,39,2,9,0
37,17,6,2,0
41,23,6,1,0
40,44,5,10,0
42,31,6,2,0
61,31,3,7,1
43,44,4,3,0
64,34,5,10,0
39,30,3,2,0
35,39,3,7,0
53,36,1,2,1
44,27,6,3,0
46,41,2,7,1
58,33,2,4,2
49,31,5,1,0
61,18,2,5,1
56,26,4,9,1
58,43,2,8,1
43,23,5,9,0
54,33,2,10,1
51,26,4,9,1
64,23,1,7,1
51,21,5,4,0
60,42,1,5,1
54,28,1,1,1
46,34,1,1,1
64,33,3,3,1
41,40,6,8,0
36,29,3,2,0
37,30,6,4,0
51,35,1,2,1
39,19,5,5,0
51,17,6,9,0
58,26,4,1,1
51,39,4,5,1
61,34,2,9,1
51,41,6,1,0
36,35,5,9,0
36,18,3,8,0
62,35,1,4,2
56,37,2,10,1
57,30,4,5,1
39,39,3,5,0
35,21,3,6,0
35,27,1,7,0
53,35,6,8,0
64,24,4,8,1
36,40,5,2,0
55,21,3,9,1
46,28,1,7,1
60,40,5,4,0
40,19,6,4,0
57,17,4,8,1
38,37,6,4,0
57,43,3,6,1
45,25,5,5,0
58,25,5,3,0
61,32,5,10,0
51,29,3,2,1
40,26,3,9,0
58,23,6,10,0
39,24,2,9,0
54,40,6,1,0
36,26,4,10,0
40,31,1,3,0
56,43,5,8,0
45,20,2,6,0
50,21,1,5,1
50,28,2,5,1
35,27,6,6,0
43,22,3,7,0
62,24,5,1,0
61,23,6,9,0
40,32,1,3,0
50,41,1,4,1
63,40,1,10,1
37,16,1,1,0
54,19,1,10,1
62,43,2,3,2
61,19,6,2,0
38,20,5,2,0
53,33,3,1,1
60,22,3,8,1
37,30,6,3,0
53,27,6,3,0
54,15,3,6,1
41,36,3,8,0
54,34,2,9,1
43,31,4,9,0
35,21,5,4,0
42,39,1,5,0
41,27,4,2,0
52,18,6,9,0
42,18,3,8,0
35,20,4,3,0
45,42,5,9,0
62,33,6,3,0
59,43,1,9,1
59,26,1,2,2
52,36,5,10,0
57,21,5,9,0
64,41,3,8,1
44,24,1,9,0
37,40,6,5,0
41,33,4,2,0
62,21,6,8,0
50,44,2,6,1
60,17,2,8,1
50,27,5,5,0
59,27,3,10,1
54,32,2,2,1
62,42,1,6,1
51,44,6,5,0
36,40,6,5,0
35,34,5,1,0
50,42,4,2,1
64,22,5,8,0
46,43,4,3,1
39,23,5,10,0
39,21,5,3,0
61,15,5,8,0
57,17,4,8,1
43,27,4,2,0
43,42,5,8,0
37,44,2,1,0
53,39,3,6,1
50,42,3,8,1
50,31,3,3,1
37,39,4,8,0
54,38,4,1,1
58,15,2,9,1
56,20,3,9,1
58,35,3,5,1
35,20,5,10,0
58,40,4,4,1
54,26,3,6,1
45,27,6,7,0
51,27,2,5,1
42,43,6,10,0
38,29,6,9,0
40,35,2,3,0
42,30,6,7,0
54,36,3,10,1
64,35,4,10,1
37,25,2,5,0
50,42,5,7,0
64,19,6,2,0
59,18,2,4,2
37,17,1,2,0
59,33,1,7,1
63,34,4,2,1
52,39,3,1,1
48,32,4,9,1
52,29,4,1,1
36,23,4,8,0
56,31,4,2,1
37,28,5,8,0
50,29,5,3,0
63,15,2,6,1
43,35,1,3,0
38,36,4,7,0
35,36,2,10,0
38,17,1,9,0
35,30,6,2,0
48,37,3,5,1
55,39,5,6,0
50,25,6,4,0
54,26,1,4,1
58,24,6,4,0
42,30,3,2,0
41,22,1,4,0
37,20,6,1,0
51,26,5,6,0
35,38,5,1,0
50,42,2,10,1
46,35,6,6,0
61,22,4,1,1
53,40,6,6,0
56,42,1,10,1
57,18,1,8,1
56,40,6,2,0
48,22,3,2,1
64,40,5,4,0
40,42,1,3,0
40,32,5,4,0
47,42,1,7,1
53,42,2,1,1
56,19,4,6,1
42,23,1,3,0
61,18,5,10,0
61,41,2,7,1
36,36,1,10,0
55,31,3,2,1
64,23,4,2,1
35,15,1,4,0
62,35,2,1,2
49,34,3,3,1
35,27,6,9,0
39,42,2,7,0
62,30,2,7,1
63,43,3,4,1
50,27,2,2,1
53,28,3,4,1
38,17,1,6,0
37,43,3,3,0
51,20,3,1,1
51,32,4,8,1
46,33,3,5,1
62,19,3,5,1
64,29,6,4,0
63,39,1,6,1
48,16,4,3,1
55,24,6,9,0
40,38,5,5,0
37,44,1,3,0
62,32,1,1,2
43,41,5,10,0
39,27,3,6,0
58,19,6,2,0
63,37,2,3,2
51,38,4,1,1
48,15,2,9,1
55,36,5,8,0
37,15,1,2,0
62,32,1,8,1
35,29,4,9,0
54,31,1,1,1
63,25,1,5,1
55,35,4,8,1
57,40,6,2,0
35,39,6,4,0
37,36,4,7,0
52,41,5,3,0
59,41,1,5,1
44,31,1,8,0
56,27,5,10,0
60,15,6,3,0
37,16,3,4,0
42,23,3,9,0
48,17,3,7,1
58,15,6,1,0
52,35,6,4,0
49,30,5,4,0
56,37,1,9,1
57,20,5,6,0
36,42,5,9,0
61,31,6,6,0
44,19,3,6,0
36,19,2,5,0
60,20,1,5,1
51,17,6,2,0
42,35,3,8,0
35,37,2,8,0
43,19,2,1,0
45,35,6,8,0
56,19,4,5,1
50,24,1,2,1
41,24,2,2,0
63,33,6,6,0
45,32,3,4,0
47,16,1,9,1
59,31,5,4,0
35,27,3,2,0
62,18,3,10,1
40,40,1,5,0
43,39,5,3,0
42,44,4,9,0
45,25,5,4,0
56,21,2,6,1
53,26,6,2,0
58,24,4,6,1
43,21,3,3,0
51,27,4,9,1
46,21,3,2,1
59,38,3,9,1
48,31,4,5,1
49,24,3,8,1
50,43,3,2,1
56,24,2,6,1
56,38,5,3,0
62,18,5,10,0
54,34,6,5,0
35,18,6,8,0
44,36,2,10,0
42,21,6,1,0
52,36,4,5,1
62,15,1,3,2
35,26,1,4,0
36,38,1,2,0
35,27,2,9,0
35,24,2,3,0
43,29,3,2,0
47,41,1,10,1
64,27,4,9,1
35,37,6,7,0
47,36,4,6,1
54,36,6,1,0
60,35,1,5,1
56,36,1,3,2
41,42,1,1,0
36,23,2,4,0
40,40,6,2,0
41,23,2,2,0
60,29,2,3,2
48,24,5,8,0
60,38,4,8,1
52,40,4,7,1
49,39,3,6,1
36,43,2,9,0
44,24,6,4,0
57,22,5,1,0
46,38,5,8,0
51,30,4,7,1
42,31,2,7,0
45,40,3,3,0
63,41,2,4,2
37,19,1,10,0
61,18,2,9,1
40,32,1,6,0
43,38,1,5,0
40,33,3,3,0
43,18,6,9,0
41,42,4,5,0
43,21,2,5,0
52,24,1,4,1
46,39,2,4,1
42,32,6,1,0
42,33,4,7,0
52,18,6,9,0
62,24,4,3,1
64,15,5,2,0
54,37,4,3,1
64,32,3,1,1
49,19,6,6,0
61,29,1,7,1
41,31,5,2,0
45,17,3,8,0
54,26,2,6,1
50,16,6,4,0
38,15,1,5,0
40,37,4,8,0
60,35,1,3,2
56,31,2,3,2
60,36,5,4,0
37,30,5,1,0
43,19,6,9,0
62,29,5,8,0
44,17,6,8,0
48,42,6,10,0
45,21,6,6,0
52,25,4,7,1
56,24,3,6,1
46,23,6,9,0
57,28,6,3,0
46,27,3,3,1
47,43,1,3,1
59,39,6,10,0
47,44,4,3,1
53,39,5,9,0
60,16,5,4,0
53,17,2,7,1
57,21,2,9,1
48,35,5,7,0
38,32,5,9,0
47,17,4,3,1
42,24,3,4,0
63,36,2,8,1
57,43,3,6,1
55,21,4,5,1
57,23,5,4,0
53,31,6,8,0
46,25,3,1,1
52,21,5,9,0
40,38,5,1,0
52,42,1,8,1
53,28,3,4,1
56,33,6,9,0
39,18,3,5,0
58,40,5,3,0
43,20,6,9,0
61,24,4,9,1
37,21,1,4,0
62,27,5,4,0
44,28,2,8,0
53,18,2,2,1
37,22,1,9,0
63,19,4,6,1
63,15,5,9,0
56,18,3,8,1
49,17,1,7,1
35,23,4,1,0
41,22,3,3,0
46,15,2,2,1
51,41,2,5,1
64,20,3,5,1
55,23,1,5,1
60,21,2,4,2
63,18,5,5,0
58,27,6,3,0
54,31,3,1,1
39,42,3,5,0
38,16,2,9,0
62,42,1,9,1
46,19,5,4,0
64,26,1,3,2
54,41,4,1,1
62,35,4,2,1
58,22,6,8,0
52,20,2,1,1
51,22,2,8,1
53,32,2,7,1
43,17,6,8,0
38,36,4,6,0
60,26,1,9,1
55,43,6,3,0
36,40,6,10,0
38,17,1,4,0
36,36,2,6,0
49,20,5,8,0
36,16,1,5,0
38,37,4,3,0
40,26,3,6,0
41,16,3,4,0
44,20,6,9,0
53,31,3,3,1
53,17,5,4,0
60,16,2,7,1
56,37,4,7,1
63,44,5,4,0
46,34,4,6,1
37,22,4,3,0
47,36,2,6,1
52,26,6,2,0
42,40,3,8,0
55,18,2,2,1
49,19,5,7,0
35,27,6,9,0
37,43,5,1,0
60,29,6,8,0
42,39,5,7,0
38,37,2,6,0
50,30,6,6,0
64,24,6,6,0
57,44,4,9,1
44,44,4,2,0
46,39,1,1,1
48,37,5,6,0
48,30,4,10,1
36,26,1,8,0
57,31,4,3,1
39,30,5,10,0
39,26,6,1,0
40,22,3,9,0
47,34,5,1,0
43,17,2,3,0
64,30,4,8,1
56,44,4,3,1
62,27,6,4,0
63,37,2,8,1
49,42,6,1,0
48,33,2,6,1
58,22,3,1,1
41,36,4,1,0
59,19,4,8,1
54,34,3,4,1
36,22,1,1,0
41,38,6,10,0
40,26,3,7,0
51,15,6,5,0
61,39,5,5,0
59,44,4,1,1
59,35,6,10,0
62,34,2,6,1
36,20,6,9,0
37,36,5,9,0
39,32,4,8,0
39,22,3,5,0
35,21,5,1,0
42,15,4,9,0
46,35,6,1,0
58,30,1,8,1
38,26,1,5,0
47,20,2,3,1
57,34,4,7,1
49,16,1,7,1
45,43,3,9,0
44,28,4,7,0
37,18,3,3,0
56,15,3,1,1
48,37,1,8,1
50,32,4,3,1
44,27,6,8,0
63,16,5,8,0
44,23,1,5,0
46,35,1,1,1
64,16,6,10,0
43,41,4,7,0
35,39,4,10,0
39,23,3,5,0
54,15,6,8,0
42,25,6,9,0
45,17,4,7,0
46,34,3,7,1
35,44,1,1,0
59,37,2,4,2
56,40,5,2,0
54,18,1,2,1
62,32,4,2,1
59,37,5,4,0
45,20,2,1,0
39,17,2,4,0
49,36,3,2,1
39,25,5,5,0
46,29,3,3,1
39,36,1,8,0
51,42,6,4,0
51,19,6,1,0
58,34,6,1,0
46,24,5,10,0
58,26,6,3,0
62,29,1,9,1
49,31,3,7,1
49,24,5,2,0
40,20,3,9,0
46,32,5,10,0
61,27,3,2,1
63,17,2,3,2
54,44,3,10,1
52,38,6,2,0
48,24,2,3,1
36,44,3,6,0
43,28,5,9,0
39,20,5,9,0
54,17,5,7,0
60,30,4,3,1
63,21,1,4,2
35,34,5,6,0
57,28,2,5,1
37,23,5,2,0
40,29,4,6,0
39,35,6,3,0
55,17,2,8,1
61,16,4,2,1
39,41,6,1,0
35,16,2,9,0
51,17,3,3,1
53,32,1,1,1
48,28,1,7,1
46,34,4,10,1
44,32,6,5,0
54,24,1,5,1
55,39,6,1,0
52,16,6,9,0
58,39,4,7,1
61,43,4,8,1
45,36,4,9,0
64,15,1,6,1
36,18,4,5,0
59,28,1,6,1
52,15,4,2,1
63,28,5,4,0
59,30,6,3,0
